time,latitude,longitude,swd_max,swd_min,swd_range,swd_mean
UTC,degrees_north,degrees_east,degree,degree,degree,degree
2000-01-01T00:00:00Z,34.025,-123.025,216.37065923555738,55.77366034373756,160.59699889181982,186.5943766512666
2000-01-01T00:00:00Z,34.025,-122.975,215.6161892466621,55.227601686428386,160.3885875602337,186.76677160332343
2000-01-01T00:00:00Z,34.025,-122.925,215.04574790083075,53.988074426414336,161.05767347441642,187.15362124411965
2000-01-01T00:00:00Z,34.025,-122.875,214.7149778370264,55.27854097366733,159.43643686335906,187.09820807516348
2000-01-01T00:00:00Z,34.025,-122.825,214.68207754344076,54.62704987709206,160.05502766634868,187.51867591829816
2000-01-01T00:00:00Z,34.025,-122.775,213.84962182853187,51.175771104568206,162.67385072396365,187.32060370352102
2000-01-01T00:00:00Z,34.025,-122.725,213.60712208262225,48.392369170283054,165.2147529123392,187.18481374364922
2000-01-01T00:00:00Z,34.025,-122.675,213.8581786147846,43.92369669137142,169.9344819234132,186.82954632702672
2000-01-01T00:00:00Z,34.025,-122.625,214.63045978975322,42.24277531787609,172.38768447187712,185.83760230048753
2000-01-01T00:00:00Z,34.025,-122.575,215.6421699682509,40.42673716092134,175.21543280732956,185.47936313199597
